Type,app,package name,vSoC,GAE,QEMU-KVM,LDplayer,Trinity,Bluestacks
UHDvideo,XPlayer,video.player.videoplayer,48.58986039054272,9.129021611165811,8.887120465651853,6.248067741600285,22.110263864404494,0.9062430088447622
UHDvideo,MXPlayer,com.mxtech.videoplayer.ad,59.320579541200665,9.706536173150173,12.536788221349793,14.439972722937915,1.4607583507576796,0.1450133549754753
UHDvideo,VLC,org.videolan.vlc,55.93222842179228,0.5564674646181602,5.740628009509373,0.0,0.0,1.3278114923962943
UHDvideo,Video Player,com.ultisw.videoplayer,59.309345989119976,0.0,9.166909562633961,2.2939697969062776,0.0,0.0
UHDvideo,Visha Player,com.transsion.magicshow,59.56964021947138,11.944257913021367,6.297930555202678,0.0,0.0,0.3694456279096179
UHDvideo,Oplayer Lite,com.olimsoft.android.oplayer,47.53928465879692,9.910737679076476,10.705363421541257,0.0,10.014299389398246,1.8508699938551227
UHDvideo,nova,org.courville.nova,58.110747980027924,4.274438897215702,15.48742248610468,4.394360943692278,3.9681100121766795,0.495078084102609
UHDvideo,Video Player,online.video.hd.videoplayer,56.161173421407554,4.611632259503437,6.9953229826717855,0.0,0.0,0.3949748245099567
UHDvideo,video player for android,video.player.audio.player.music,59.6619883266425,6.646983437682964,11.582030151442838,4.546365678441493,9.611800355397396,2.059655056146849
UHDvideo,Mplayer,hd.video.player.videoplayer.mplayer.hdvideoplayer,59.78142849543644,1.551291581464957,13.142154926923332,4.221926072044734,2.657859046242059,0.0
360video,VR Media Player,com.xojot.vrplayer,51.20231238536748,0.0,11.51712835131306,0.0,0.0,0.0
360video,HomeTheater VR,com.blevok.HomeTheaterVR,59.51519305439198,1.4449639096581515,20.038751097045914,8.06051864695237,6.88161090615509,-1.0
360video,VR Player,com.AAA.VRPlayer,56.18978966093065,23.76347459424799,11.806467638839536,-1.0,7.490065152836856,0.0
360video,iPlay SBS Player,com.panagola.app.iplay,59.89845613629107,31.06051761082854,-1.0,-1.0,0.0,3.509614147668459
360video,VRTV Lite,se.chai.vrtv.free,55.17885921457917,0.0,14.54828521022908,7.563498664370158,9.491746146180843,0.22186578355886266
360video,VR Player,com.vrplayer.vrapp.vrvideos,49.0753236679492,10.520221578673912,24.011136471315513,0.0,2.6689125709387747,0.5789109737952456
360video,VR 360 Player,com.vrplayer.bestvrvideos,40.96709979307302,20.859363612039125,24.51757891937163,3.511492135022724,0.0,0.0
360video,VR Player,com.vrplayer.vrvideoplayer,50.05733595983794,21.09312509921894,20.902419917308507,1.6905769609014312,2.774380207540637,-1.0
360video,VR Media Player,com.rplayer.wrvideo.virtualreality.panorama.vr360,47.543144865847715,17.274144476930715,16.275917871190764,0.0,7.754988026089814,3.959198352296301
360video,VR Player,com.goshi.vr.video.player.hd,48.53375723408069,26.19744675370027,20.809908560054414,0.3067468987021713,0.8270508979462565,0.0
camera,System Camera,com.android.camera2,49.37370408390655,19.79417132336189,31.58108954696703,-1.0,-1.0,2.4616033339364294
camera,OpenCamera,net.sourceforge.opencamera,59.69986880416305,24.14073196706289,27.571193519909272,21.82269964223143,-1.0,3.887868113614453
camera,HDcamera,hd.camera,59.56505728259001,7.776812973719583,16.43001528440355,28.01594538593084,-1.0,0.13543598658508738
camera,ProCam X,"com.intermedia.hd,camera.professiona",59.51755775960832,49.58255281144451,-1.0,31.420327757088916,-1.0,0.0
camera,Camera FV-5 Lite,com.flavionet.android.camera.lite,59.16640209921212,30.254018540848126,-1.0,10.584122122984267,-1.0,0.0
camera,Film it,com.software.illusions.unlimited.filmit,54.7260913127913,33.23805672562773,8.118212433647207,37.26680406239155,-1.0,0.0
camera,Professional Camera,best.camera,59.4593743896108,10.488140278643497,33.923662565158004,20.75060597973889,-1.0,2.6731976559004993
camera,Camera,com.photo.android.camera,58.53379183012531,13.780138816765552,20.919169940491336,22.15665298732531,-1.0,0.0
camera,Camera,beauty.hd.camera,59.17477655370523,32.20642640057065,19.735897018234922,28.97378260673015,-1.0,0.0
camera,HD Camera,hd.best.camera,56.01262870458018,26.73214259578148,23.815361272208634,29.30747001200902,-1.0,0.0
AR,Arts and Culture,com.google.android.apps.cultural,43.180692360839686,23.20984300865165,-1.0,27.59490077822409,-1.0,4.978835533104264
AR,Instagram,com.instagram.android,50.983617856023656,16.25413382119158,22.895719970688248,-1.0,-1.0,0.0
AR,eBay,com.ebay.mobile,51.31605832961425,15.199897168326718,19.851657785193645,0.0,-1.0,0.0
AR,Google Lens,com.google.android.googlequicksearchbox,57.01920287753443,17.166357723222507,-1.0,26.590196039331495,-1.0,-1.0
AR,AR Drawing,ar.drawing.sketch.paint.trace.draw.picture.paper,45.087150966633246,21.80710413960511,12.408525552083391,24.979401927477515,-1.0,0.0
AR,CalcaApp,com.apliarte.calcaapp,45.69785167552594,17.72384480749029,25.254541263146603,16.980656581754427,-1.0,0.0
AR,AR Drawer Pro,com.ardashgdi.drawerprohughd,50.460630102851624,18.97779850331622,21.83462210738272,38.00765848759513,-1.0,0.008686878745029603
AR,AR Drawing Sketch,ar.drawing.sketch.paint.tool,55.143325153744726,16.81316392463842,21.2835384790233,21.68074507364785,-1.0,3.5407316676428957
AR,AR Drawing,com.draw.sketch.ardrawing.trace.anime.paint,51.004578833433264,21.47924465930798,17.63718288525501,21.629458579168848,-1.0,4.9597110283899015
AR,AR Paint,com.osdifa.ardrawing,59.29316471657465,18.91136362398446,20.83214689060536,18.58091242501663,-1.0,0.0
Livestream,Streamlabs,com.streamlabs,40.09287415981634,-1.0,-1.0,-1.0,-1.0,-1.0
Livestream,Larix Screencaster,com.wmspanel.larix_screencaster,54.357902220606775,35.06087258574111,25.29114803527614,10.332316238315096,-1.0,29.48097384819873
Livestream,LiveNow,com.nabiapp.livenow,52.32072105848656,18.674688595253695,30.576535143119294,11.284434610614992,-1.0,25.50301610954013
Livestream,CameraFi Live,com.vaultmicro.camerafi.live,57.38304812769441,20.731217027454324,31.687187690100014,8.431706417460855,-1.0,20.381353316659013
Livestream,Larix Broadcaster,com.wmspanel.arix_broadcaster,51.94996531820779,16.7369320358365,31.7903059932848,12.365770595589584,-1.0,29.938585752956406
Livestream,RTMP streamer,com.toysoft.rtmpstreamer,35.94481450959728,-1.0,2.1055125243153583,13.850198115389698,-1.0,0.0
Livestream,Omnistream,three_d_innotech.poc_3dinnotech,-1.0,-1.0,-1.0,8.400464554547469,-1.0,-1.0
Livestream,CamON Live Streaming,com.spynet.camon,56.19177204850671,26.803798924297983,22.122511888219723,-1.0,-1.0,34.40434849990858
Livestream,Live Streamer,com.avermedia.screenstreamer,-1.0,21.085328718688647,22.110129416695173,-1.0,-1.0,-1.0
Livestream,Lily Live,com.allstar.lily.live,38.145807335102305,11.599855450065851,-1.0,1.2820993068646593,-1.0,27.553097907718147
